[2017-05-24 19:22:45] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 19:22:45] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 19:22:46] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 19:24:13] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 19:24:14] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 19:24:14] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 19:24:44] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 19:25:10] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 19:25:10] my_logger.INFO: Home Container Caricato [] []
[2017-05-24 19:28:38] my_logger.INFO: Home Container Caricato [] []
